Year,Airport,Flights A-Domestic,Pax A-Domestic,Cargo A-Domestic,Flights D-Domestic,Pax D-Domestic,Cargo D-Domestic,Flights A-international,Pax A-international,Cargo A-international,Flights D-international,Pax D-international,Cargo D-international,Flights,Pax,Cargo
2019.0,JED,53385.0,7133625.0,8075.9,51994.0,7040227.0,27373.0,67625.0,11237016.0,205733.8,68936.0,12129993.0,125771.3,241940.0,37540861.0,366954.0
2019.0,MED,11048.0,1223932.0,,13012.0,1376222.0,,19255.0,3321752.0,,17289.0,2462067.0,,60604.0,8383973.0,
2019.0,NUM,,,,,,,367.0,2460.0,0.0,373.0,2851.0,0.0,740.0,5311.0,0.0
2019.0,RAE,1652.0,172527.0,0.0,1649.0,173097.0,0.0,13.0,10.0,0.0,18.0,130.0,0.0,3332.0,345764.0,0.0
2019.0,RAH,473.0,44569.0,0.0,473.0,46188.0,0.0,,,,,,,946.0,90757.0,0.0
2019.0,RGB,,,,,,,17.0,31.0,0.0,17.0,46.0,0.0,34.0,77.0,0.0
2019.0,RUH,62533.0,8453790.0,19700.5,62031.0,8217263.0,5455.2,43561.0,6285616.0,150832.8,44038.0,6127569.0,43085.0,212163.0,29084238.0,219073.5
2019.0,SHW,1369.0,131850.0,0.0,1368.0,127920.0,0.0,1.0,62.0,0.0,2.0,62.0,0.0,2740.0,259894.0,0.0
2019.0,TIF,3870.0,413195.0,0.0,3850.0,400778.0,0.0,1558.0,185598.0,0.0,1577.0,174675.0,0.0,10855.0,1174246.0,0.0
2019.0,TUI,753.0,51590.0,0.0,754.0,53081.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,1512.0,104678.0,0.0
2019.0,TUU,7192.0,796108.0,0.0,7182.0,804891.0,0.0,811.0,92657.0,0.0,829.0,93304.0,0.0,16014.0,1786960.0,0.0
2019.0,ULH,700.0,29642.0,0.0,707.0,29388.0,0.0,120.0,966.0,0.0,111.0,1142.0,0.0,1638.0,61138.0,0.0
2019.0,URY,1260.0,118392.0,0.0,1258.0,124589.0,0.0,1.0,4.0,0.0,1.0,9.0,0.0,2520.0,242994.0,0.0
2019.0,WAE,899.0,73301.0,760.5,892.0,78277.0,707.3,7.0,0.0,83.5,11.0,0.0,136.7,1809.0,151578.0,1688.0
2019.0,YNB,2380.0,218837.0,0.0,2392.0,224547.0,0.0,1062.0,132785.0,0.0,1050.0,120493.0,0.0,6884.0,696662.0,0.0
2020.0,ABT,1160.0,99491.0,0.0,1160.0,102517.0,0.0,-,-,-,-,-,-,2320.0,202008.0,0.0
2020.0,AHB,7811.0,874128.0,0.0,7769.0,887906.0,0.0,328.0,36764.0,0.0,368.0,50698.0,0.0,16276.0,1849496.0,0.0
2020.0,AJF,1117.0,109775.0,0.0,1124.0,112273.0,0.0,183.0,19579.0,0.0,180.0,21523.0,0.0,2604.0,263150.0,0.0
2020.0,AQI,645.0,55569.0,0.0,648.0,56832.0,0.0,7.0,37.0,0.0,4.0,0.0,0.0,1304.0,112438.0,0.0
2020.0,BHH,930.0,96846.0,0.0,930.0,100954.0,0.0,4.0,3.0,0.0,4.0,6.0,0.0,1868.0,197809.0,0.0
2020.0,DMM,16928.0,1382559.0,3467.4,16817.0,1340700.0,1856.4,6888.0,680459.0,21354.4,7000.0,833904.0,4799.8,47633.0,4237622.0,31478.0
2020.0,DWD,102.0,4692.0,166.7,101.0,4581.0,154.2,-,-,-,1.0,0.0,12.5,204.0,9273.0,333.4
2020.0,EAM,1515.0,149575.0,0.0,1510.0,154661.0,0.0,2.0,208.0,-,7.0,350.0,0.0,3034.0,304794.0,0.0
2020.0,EJH,271.0,10224.0,140.7,268.0,10980.0,0.0,50.0,1.0,0.0,53.0,1.0,0.0,642.0,21206.0,140.7
2020.0,ELQ,1691.0,152321.0,0.0,1706.0,150701.0,0.0,842.0,85157.0,0.0,827.0,89766.0,0.0,5066.0,477945.0,0.0
2020.0,GIZ,6586.0,646436.0,0.0,6589.0,663768.0,0.0,162.0,17088.0,0.0,162.0,20345.0,0.0,13499.0,1347637.0,0.0
2020.0,HAS,1669.0,153204.0,0.0,1674.0,155724.0,0.0,213.0,18745.0,0.0,226.0,21922.0,0.0,3782.0,349595.0,0.0
2020.0,HOF,2877.0,46104.0,0.0,2874.0,46691.0,0.0,64.0,1968.0,0.0,67.0,1904.0,0.0,5882.0,96667.0,0.0
2020.0,JED,27055.0,2991653.0,8633.8,26742.0,3028001.0,15879.6,20976.0,2737768.0,106189.6,21268.0,3429989.0,62696.7,96041.0,12187411.0,193399.7
2020.0,MED,5077.0,464024.0,-,5507.0,502230.0,-,4145.0,705265.0,-,3721.0,576386.0,-,18450.0,2247905.0,-
2020.0,NUM,-,-,-,-,-,-,382.0,2939.0,0.0,384.0,2122.0,0.0,766.0,5061.0,0.0
2020.0,RAE,1177.0,89997.0,0.0,1180.0,91605.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,2363.0,181606.0,0.0
2020.0,RAH,211.0,21198.0,0.0,211.0,21397.0,0.0,-,-,-,-,-,-,422.0,42595.0,0.0
2020.0,RGB,-,-,-,-,-,-,7.0,19.0,0.0,6.0,8.0,0.0,13.0,27.0,0.0
2020.0,RUH,34108.0,3924599.0,12320.3,33518.0,3690087.0,6738.0,17569.0,1749274.0,107458.0,18137.0,2039841.0,25614.3,103332.0,11403801.0,152130.6
2020.0,SHW,773.0,58024.0,0.0,773.0,56720.0,0.0,-,-,-,-,-,-,1546.0,114744.0,0.0
2020.0,TIF,2061.0,190531.0,0.0,2062.0,193633.0,0.0,364.0,39527.0,0.0,364.0,39611.0,0.0,4851.0,463302.0,0.0
2020.0,TUI,342.0,21405.0,0.0,342.0,21887.0,0.0,-,-,-,-,-,-,684.0,43292.0,0.0
2020.0,TUU,3623.0,361960.0,0.0,3787.0,377687.0,0.0,243.0,21955.0,0.0,279.0,29773.0,0.0,7932.0,791375.0,0.0
2020.0,ULH,589.0,23325.0,0.0,584.0,23179.0,0.0,146.0,1277.0,0.0,151.0,997.0,0.0,1470.0,48778.0,0.0
2020.0,URY,594.0,50595.0,0.0,631.0,52486.0,0.0,-,-,-,-,-,-,1225.0,103081.0,0.0
2020.0,WAE,416.0,26293.0,849.9,407.0,27353.0,853.1,8.0,0.0,20.9,17.0,2.0,50.0,848.0,53648.0,1773.9
2020.0,YNB,1067.0,82873.0,0.3,1067.0,82407.0,0.0,308.0,37949.0,0.0,308.0,43987.0,0.0,2750.0,247216.0,0.3
2021.0,ABT,1439.0,123634.0,0.0,1439.0,129982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2878.0,253616.0,0.0
2021.0,AHB,11180.0,1170514.0,148.9,11123.0,1195134.0,229.6,131.0,7648.0,0.0,183.0,19180.0,0.9,22617.0,2392476.0,379.4
2021.0,AJF,1778.0,155237.0,0.0,1785.0,166506.0,0.0,189.0,15094.0,0.0,185.0,23075.0,0.0,3937.0,359912.0,0.0
2021.0,AQI,1114.0,86092.0,0.0,1114.0,90452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.0,176544.0,0.0
2021.0,BHH,1522.0,134988.0,0.0,1520.0,145158.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3043.0,280146.0,0.0
2021.0,DMM,21251.0,1741588.0,4241.1,21276.0,1741180.0,1693.8,9122.0,966102.0,29448.5,9093.0,1046220.0,12570.7,60742.0,5495090.0,47954.100000000006
