Year,Month_short,dom/intl,ABT,AHB,AJF,AQI,BHH,DMM,DWD,EAM,EJH,ELQ,GIZ,HAS,HOF,JED,MED,NUM,RAE,RAH,RGB,RUH,SHW,TIF,TUI,TUU,ULH,URY,WAE,YNB
2015.0,Nov,international,0.0,34471.0,9881.0,0.0,0.0,373320.0,0.0,0.0,0.0,54066.0,9524.0,11564.0,9148.0,802760.0,86473.0,0.0,0.0,0.0,0.0,750819.0,0.0,38423.0,0.0,14339.0,0.0,0.0,0.0,15008.0
2015.0,Dec,Domestic,30255.0,231776.0,32706.0,13037.0,31955.0,337964.0,1922.0,0.0,4015.0,53827.0,135412.0,55198.0,5370.0,892623.0,167530.0,0.0,20459.0,6601.0,0.0,1014566.0,19414.0,47865.0,4642.0,92162.0,2121.0,16250.0,9298.0,31432.0
2015.0,Dec,international,0.0,40327.0,11265.0,0.0,0.0,429340.0,0.0,0.0,0.0,58165.0,10745.0,11968.0,9130.0,1697630.0,341219.0,0.0,0.0,0.0,0.0,851077.0,0.0,46501.0,0.0,14714.0,0.0,0.0,0.0,72527.0
2016.0,Jan,Domestic,32745.0,255404.0,35587.0,13849.0,32251.0,409464.0,2010.0,0.0,5123.0,58264.0,152093.0,60250.0,18763.0,960578.0,178909.0,0.0,21473.0,6829.0,0.0,1124762.0,22019.0,50976.0,6587.0,100132.0,2408.0,17106.0,9665.0,36745.0
2016.0,Jan,international,0.0,49437.0,12571.0,0.0,0.0,450190.0,0.0,0.0,0.0,74467.0,11513.0,12905.0,11123.0,1949709.0,368234.0,0.0,0.0,0.0,0.0,948280.0,0.0,50796.0,0.0,18112.0,0.0,0.0,0.0,90721.0
2016.0,Feb,Domestic,27583.0,213249.0,31807.0,12352.0,28879.0,330078.0,1723.0,14.0,4264.0,49599.0,128900.0,49545.0,4295.0,778083.0,154702.0,0.0,19335.0,5928.0,0.0,935062.0,18371.0,43497.0,5580.0,81193.0,1826.0,13187.0,8625.0,27059.0
2016.0,Feb,international,0.0,38477.0,10475.0,0.0,0.0,370878.0,0.0,0.0,0.0,64969.0,8283.0,11249.0,8032.0,1766879.0,341084.0,0.0,0.0,0.0,0.0,793914.0,0.0,39668.0,0.0,15102.0,0.0,0.0,0.0,85457.0
2016.0,Mar,Domestic,33550.0,255201.0,38285.0,13352.0,31915.0,429451.0,1689.0,11.0,5253.0,60060.0,133492.0,61220.0,18349.0,968196.0,191263.0,0.0,21885.0,6686.0,0.0,1138799.0,18772.0,52831.0,6894.0,100421.0,2523.0,16912.0,9651.0,37349.0
2016.0,Mar,international,0.0,50453.0,12951.0,0.0,0.0,443364.0,0.0,0.0,44.0,74191.0,7359.0,13762.0,9596.0,2050677.0,415958.0,0.0,0.0,0.0,0.0,948716.0,0.0,45099.0,0.0,16633.0,0.0,0.0,0.0,83682.0
2016.0,Apr,Domestic,28891.0,229485.0,33059.0,12759.0,30586.0,357268.0,1811.0,36.0,4458.0,50981.0,137331.0,53752.0,18168.0,839877.0,176391.0,0.0,20213.0,6124.0,17.0,966729.0,17246.0,45272.0,6057.0,89933.0,1931.0,14253.0,9206.0,32707.0
2016.0,Apr,international,0.0,45534.0,10649.0,0.0,0.0,405150.0,0.0,0.0,0.0,64192.0,9462.0,12809.0,8183.0,1914668.0,409771.0,0.0,0.0,0.0,0.0,874291.0,0.0,41327.0,0.0,14585.0,0.0,0.0,0.0,80199.0
2016.0,May,Domestic,34858.0,251142.0,36405.0,14115.0,32449.0,374705.0,1651.0,3.0,4433.0,55765.0,156392.0,57804.0,19742.0,902157.0,182181.0,0.0,21245.0,7064.0,38.0,1050900.0,19295.0,50089.0,6800.0,96707.0,1690.0,15927.0,10369.0,35727.0
2016.0,May,international,0.0,55196.0,14239.0,0.0,0.0,450673.0,0.0,0.0,0.0,88363.0,12950.0,15845.0,11566.0,1829360.0,370614.0,0.0,0.0,0.0,0.0,1001148.0,0.0,51848.0,0.0,21984.0,0.0,0.0,0.0,73229.0
2016.0,Jun,Domestic,31911.0,226295.0,30871.0,13336.0,28511.0,364682.0,1810.0,59.0,4183.0,63401.0,139722.0,48819.0,20185.0,1019971.0,179606.0,0.0,19957.0,6056.0,13.0,1074792.0,18035.0,59229.0,6152.0,87096.0,1639.0,16104.0,8814.0,26773.0
2016.0,Jun,international,0.0,46664.0,11945.0,0.0,0.0,399568.0,0.0,0.0,0.0,77171.0,12623.0,12233.0,10629.0,1672918.0,390554.0,0.0,0.0,0.0,0.0,819531.0,0.0,71830.0,0.0,19031.0,0.0,0.0,0.0,42305.0
